"cell_id","group_id"
"Cell1","Group2"
"Cell2","Group2"
"Cell3","Group1"
"Cell4","Group2"
"Cell5","Group2"
"Cell6","Group1"
"Cell7","Group2"
"Cell8","Group2"
"Cell9","Group2"
"Cell10","Group2"
"Cell11","Group1"
"Cell12","Group2"
"Cell13","Group2"
"Cell14","Group2"
"Cell15","Group1"
"Cell16","Group1"
"Cell17","Group2"
"Cell18","Group1"
"Cell19","Group1"
"Cell20","Group1"
"Cell21","Group2"
"Cell22","Group2"
"Cell23","Group2"
"Cell24","Group2"
"Cell25","Group2"
"Cell26","Group2"
"Cell27","Group2"
"Cell28","Group1"
"Cell29","Group2"
"Cell30","Group2"
"Cell31","Group2"
"Cell32","Group1"
"Cell33","Group1"
"Cell34","Group1"
"Cell35","Group2"
"Cell36","Group2"
"Cell37","Group2"
"Cell38","Group2"
"Cell39","Group2"
"Cell40","Group2"
"Cell41","Group2"
"Cell42","Group1"
"Cell43","Group1"
"Cell44","Group2"
"Cell45","Group1"
"Cell46","Group2"
"Cell47","Group1"
"Cell48","Group2"
"Cell49","Group2"
"Cell50","Group1"
"Cell51","Group2"
"Cell52","Group2"
"Cell53","Group1"
"Cell54","Group2"
"Cell55","Group2"
"Cell56","Group1"
"Cell57","Group1"
"Cell58","Group1"
"Cell59","Group1"
"Cell60","Group1"
"Cell61","Group1"
"Cell62","Group2"
"Cell63","Group1"
"Cell64","Group2"
"Cell65","Group2"
"Cell66","Group2"
"Cell67","Group2"
"Cell68","Group1"
"Cell69","Group1"
"Cell70","Group2"
"Cell71","Group2"
"Cell72","Group1"
"Cell73","Group2"
"Cell74","Group2"
"Cell75","Group2"
"Cell76","Group1"
"Cell77","Group2"
"Cell78","Group1"
"Cell79","Group2"
"Cell80","Group2"
"Cell81","Group1"
"Cell82","Group2"
"Cell83","Group1"
"Cell84","Group1"
"Cell85","Group2"
"Cell86","Group2"
"Cell87","Group1"
"Cell88","Group2"
"Cell89","Group1"
"Cell90","Group2"
"Cell91","Group2"
"Cell92","Group2"
"Cell93","Group1"
"Cell94","Group2"
"Cell95","Group2"
"Cell96","Group2"
"Cell97","Group1"
"Cell98","Group1"
"Cell99","Group1"
"Cell100","Group2"
"Cell101","Group1"
"Cell102","Group2"
"Cell103","Group2"
"Cell104","Group1"
"Cell105","Group2"
"Cell106","Group1"
"Cell107","Group2"
"Cell108","Group2"
"Cell109","Group1"
"Cell110","Group1"
"Cell111","Group2"
"Cell112","Group2"
"Cell113","Group1"
"Cell114","Group1"
"Cell115","Group1"
"Cell116","Group2"
"Cell117","Group2"
"Cell118","Group1"
"Cell119","Group2"
"Cell120","Group1"
"Cell121","Group2"
"Cell122","Group2"
"Cell123","Group1"
"Cell124","Group2"
"Cell125","Group2"
"Cell126","Group1"
"Cell127","Group2"
"Cell128","Group1"
"Cell129","Group2"
"Cell130","Group1"
"Cell131","Group1"
"Cell132","Group2"
"Cell133","Group1"
"Cell134","Group1"
"Cell135","Group2"
"Cell136","Group1"
"Cell137","Group2"
"Cell138","Group2"
"Cell139","Group2"
"Cell140","Group1"
"Cell141","Group2"
"Cell142","Group2"
"Cell143","Group2"
"Cell144","Group2"
"Cell145","Group1"
"Cell146","Group1"
"Cell147","Group2"
"Cell148","Group1"
"Cell149","Group1"
"Cell150","Group1"
"Cell151","Group1"
"Cell152","Group1"
"Cell153","Group2"
"Cell154","Group1"
"Cell155","Group1"
"Cell156","Group2"
"Cell157","Group1"
"Cell158","Group2"
"Cell159","Group1"
"Cell160","Group1"
"Cell161","Group1"
"Cell162","Group2"
"Cell163","Group1"
"Cell164","Group2"
"Cell165","Group1"
"Cell166","Group2"
"Cell167","Group2"
"Cell168","Group2"
"Cell169","Group2"
"Cell170","Group1"
"Cell171","Group2"
"Cell172","Group2"
"Cell173","Group1"
"Cell174","Group1"
"Cell175","Group2"
"Cell176","Group2"
"Cell177","Group1"
"Cell178","Group1"
"Cell179","Group2"
"Cell180","Group2"
"Cell181","Group1"
"Cell182","Group1"
"Cell183","Group1"
"Cell184","Group2"
"Cell185","Group2"
"Cell186","Group2"
"Cell187","Group1"
"Cell188","Group2"
"Cell189","Group2"
"Cell190","Group1"
"Cell191","Group1"
"Cell192","Group1"
"Cell193","Group1"
"Cell194","Group1"
"Cell195","Group1"
"Cell196","Group1"
"Cell197","Group2"
"Cell198","Group2"
"Cell199","Group1"
"Cell200","Group1"
"Cell201","Group1"
"Cell202","Group2"
"Cell203","Group2"
"Cell204","Group2"
"Cell205","Group2"
"Cell206","Group2"
"Cell207","Group2"
"Cell208","Group2"
"Cell209","Group1"
"Cell210","Group1"
"Cell211","Group1"
"Cell212","Group2"
"Cell213","Group1"
"Cell214","Group1"
"Cell215","Group2"
"Cell216","Group2"
"Cell217","Group1"
"Cell218","Group1"
"Cell219","Group1"
"Cell220","Group2"
"Cell221","Group2"
"Cell222","Group1"
"Cell223","Group2"
"Cell224","Group1"
"Cell225","Group2"
"Cell226","Group1"
"Cell227","Group1"
"Cell228","Group2"
"Cell229","Group1"
"Cell230","Group2"
"Cell231","Group1"
"Cell232","Group2"
"Cell233","Group2"
"Cell234","Group1"
"Cell235","Group1"
"Cell236","Group2"
"Cell237","Group1"
"Cell238","Group1"
"Cell239","Group1"
"Cell240","Group2"
"Cell241","Group2"
"Cell242","Group1"
"Cell243","Group1"
"Cell244","Group1"
"Cell245","Group1"
"Cell246","Group1"
"Cell247","Group1"
"Cell248","Group2"
"Cell249","Group1"
"Cell250","Group1"
"Cell251","Group2"
"Cell252","Group2"
"Cell253","Group2"
"Cell254","Group2"
"Cell255","Group2"
"Cell256","Group2"
"Cell257","Group2"
"Cell258","Group1"
"Cell259","Group2"
"Cell260","Group2"
"Cell261","Group2"
"Cell262","Group2"
"Cell263","Group2"
"Cell264","Group2"
"Cell265","Group1"
"Cell266","Group2"
"Cell267","Group1"
"Cell268","Group1"
"Cell269","Group1"
"Cell270","Group2"
"Cell271","Group1"
"Cell272","Group2"
"Cell273","Group2"
"Cell274","Group2"
"Cell275","Group2"
"Cell276","Group1"
"Cell277","Group2"
"Cell278","Group2"
"Cell279","Group1"
"Cell280","Group2"
"Cell281","Group1"
"Cell282","Group2"
"Cell283","Group2"
"Cell284","Group1"
"Cell285","Group1"
"Cell286","Group2"
"Cell287","Group2"
"Cell288","Group2"
"Cell289","Group2"
"Cell290","Group2"
"Cell291","Group2"
"Cell292","Group2"
"Cell293","Group2"
"Cell294","Group1"
"Cell295","Group1"
"Cell296","Group2"
"Cell297","Group1"
"Cell298","Group1"
"Cell299","Group2"
"Cell300","Group2"
"Cell301","Group2"
"Cell302","Group2"
"Cell303","Group1"
"Cell304","Group2"
"Cell305","Group2"
"Cell306","Group2"
"Cell307","Group2"
"Cell308","Group1"
"Cell309","Group1"
"Cell310","Group2"
"Cell311","Group2"
"Cell312","Group1"
"Cell313","Group1"
"Cell314","Group1"
"Cell315","Group1"
"Cell316","Group1"
"Cell317","Group2"
"Cell318","Group2"
"Cell319","Group1"
"Cell320","Group2"
"Cell321","Group1"
"Cell322","Group2"
"Cell323","Group1"
"Cell324","Group1"
"Cell325","Group2"
"Cell326","Group1"
"Cell327","Group2"
"Cell328","Group1"
"Cell329","Group2"
"Cell330","Group1"
"Cell331","Group2"
"Cell332","Group2"
"Cell333","Group2"
"Cell334","Group2"
"Cell335","Group1"
"Cell336","Group1"
"Cell337","Group1"
"Cell338","Group1"
"Cell339","Group2"
"Cell340","Group2"
"Cell341","Group2"
"Cell342","Group2"
"Cell343","Group2"
"Cell344","Group2"
"Cell345","Group2"
"Cell346","Group2"
"Cell347","Group2"
"Cell348","Group2"
"Cell349","Group1"
"Cell350","Group2"
