"cell_id","group_id"
"Cell1","Group1"
"Cell2","Group2"
"Cell3","Group1"
"Cell4","Group1"
"Cell5","Group2"
"Cell6","Group1"
"Cell7","Group2"
"Cell8","Group1"
"Cell9","Group2"
"Cell10","Group1"
"Cell11","Group2"
"Cell12","Group2"
"Cell13","Group1"
"Cell14","Group2"
"Cell15","Group1"
"Cell16","Group2"
"Cell17","Group1"
"Cell18","Group1"
"Cell19","Group2"
"Cell20","Group1"
"Cell21","Group2"
"Cell22","Group2"
"Cell23","Group2"
"Cell24","Group2"
"Cell25","Group2"
"Cell26","Group2"
"Cell27","Group1"
"Cell28","Group1"
"Cell29","Group2"
"Cell30","Group1"
"Cell31","Group2"
"Cell32","Group2"
"Cell33","Group2"
"Cell34","Group2"
"Cell35","Group2"
"Cell36","Group1"
"Cell37","Group2"
"Cell38","Group1"
"Cell39","Group2"
"Cell40","Group1"
"Cell41","Group1"
"Cell42","Group2"
"Cell43","Group2"
"Cell44","Group1"
"Cell45","Group2"
"Cell46","Group1"
"Cell47","Group1"
"Cell48","Group1"
"Cell49","Group1"
"Cell50","Group1"
"Cell51","Group2"
"Cell52","Group2"
"Cell53","Group2"
"Cell54","Group2"
"Cell55","Group1"
"Cell56","Group2"
"Cell57","Group1"
"Cell58","Group2"
"Cell59","Group2"
"Cell60","Group1"
"Cell61","Group2"
"Cell62","Group1"
"Cell63","Group2"
"Cell64","Group2"
"Cell65","Group2"
"Cell66","Group2"
"Cell67","Group2"
"Cell68","Group1"
"Cell69","Group1"
"Cell70","Group2"
"Cell71","Group2"
"Cell72","Group2"
"Cell73","Group2"
"Cell74","Group1"
"Cell75","Group1"
"Cell76","Group1"
"Cell77","Group2"
"Cell78","Group2"
"Cell79","Group1"
"Cell80","Group1"
"Cell81","Group2"
"Cell82","Group2"
"Cell83","Group1"
"Cell84","Group1"
"Cell85","Group2"
"Cell86","Group1"
"Cell87","Group2"
"Cell88","Group2"
"Cell89","Group1"
"Cell90","Group1"
"Cell91","Group1"
"Cell92","Group1"
"Cell93","Group2"
"Cell94","Group1"
"Cell95","Group1"
"Cell96","Group2"
"Cell97","Group2"
"Cell98","Group2"
"Cell99","Group2"
"Cell100","Group2"
"Cell101","Group2"
"Cell102","Group2"
"Cell103","Group2"
"Cell104","Group2"
"Cell105","Group2"
"Cell106","Group1"
"Cell107","Group2"
"Cell108","Group2"
"Cell109","Group1"
"Cell110","Group1"
"Cell111","Group2"
"Cell112","Group1"
"Cell113","Group1"
"Cell114","Group2"
"Cell115","Group2"
"Cell116","Group2"
"Cell117","Group1"
"Cell118","Group2"
"Cell119","Group2"
"Cell120","Group2"
"Cell121","Group1"
"Cell122","Group1"
"Cell123","Group1"
"Cell124","Group1"
"Cell125","Group1"
"Cell126","Group2"
"Cell127","Group1"
"Cell128","Group1"
"Cell129","Group1"
"Cell130","Group1"
"Cell131","Group1"
"Cell132","Group2"
"Cell133","Group1"
"Cell134","Group2"
"Cell135","Group1"
"Cell136","Group2"
"Cell137","Group2"
"Cell138","Group2"
"Cell139","Group2"
"Cell140","Group2"
"Cell141","Group1"
"Cell142","Group1"
"Cell143","Group2"
"Cell144","Group2"
"Cell145","Group2"
"Cell146","Group2"
"Cell147","Group2"
"Cell148","Group1"
"Cell149","Group1"
"Cell150","Group1"
"Cell151","Group2"
"Cell152","Group2"
"Cell153","Group2"
"Cell154","Group2"
"Cell155","Group1"
"Cell156","Group1"
"Cell157","Group1"
"Cell158","Group2"
"Cell159","Group1"
"Cell160","Group1"
"Cell161","Group2"
"Cell162","Group1"
"Cell163","Group1"
"Cell164","Group2"
"Cell165","Group1"
"Cell166","Group2"
"Cell167","Group2"
"Cell168","Group2"
"Cell169","Group2"
"Cell170","Group2"
"Cell171","Group1"
"Cell172","Group1"
"Cell173","Group2"
"Cell174","Group2"
"Cell175","Group1"
"Cell176","Group1"
"Cell177","Group1"
"Cell178","Group2"
"Cell179","Group2"
"Cell180","Group1"
"Cell181","Group2"
"Cell182","Group2"
"Cell183","Group1"
"Cell184","Group1"
"Cell185","Group1"
"Cell186","Group2"
"Cell187","Group2"
"Cell188","Group2"
"Cell189","Group2"
"Cell190","Group1"
"Cell191","Group1"
"Cell192","Group2"
"Cell193","Group1"
"Cell194","Group2"
"Cell195","Group1"
"Cell196","Group1"
"Cell197","Group1"
"Cell198","Group2"
"Cell199","Group2"
"Cell200","Group1"
