"cell_id","group_id"
"Cell1","Group2"
"Cell2","Group2"
"Cell3","Group2"
"Cell4","Group1"
"Cell5","Group1"
"Cell6","Group1"
"Cell7","Group1"
"Cell8","Group1"
"Cell9","Group2"
"Cell10","Group2"
"Cell11","Group2"
"Cell12","Group1"
"Cell13","Group1"
"Cell14","Group2"
"Cell15","Group2"
"Cell16","Group2"
"Cell17","Group2"
"Cell18","Group2"
"Cell19","Group2"
"Cell20","Group2"
"Cell21","Group2"
"Cell22","Group2"
"Cell23","Group1"
"Cell24","Group1"
"Cell25","Group1"
"Cell26","Group1"
"Cell27","Group2"
"Cell28","Group2"
"Cell29","Group2"
"Cell30","Group2"
"Cell31","Group1"
"Cell32","Group2"
"Cell33","Group1"
"Cell34","Group2"
"Cell35","Group2"
"Cell36","Group2"
"Cell37","Group2"
"Cell38","Group2"
"Cell39","Group2"
"Cell40","Group2"
"Cell41","Group2"
"Cell42","Group2"
"Cell43","Group2"
"Cell44","Group1"
"Cell45","Group1"
"Cell46","Group1"
"Cell47","Group2"
"Cell48","Group2"
"Cell49","Group1"
"Cell50","Group1"
"Cell51","Group1"
"Cell52","Group1"
"Cell53","Group2"
"Cell54","Group1"
"Cell55","Group2"
"Cell56","Group1"
"Cell57","Group2"
"Cell58","Group2"
"Cell59","Group2"
"Cell60","Group2"
"Cell61","Group1"
"Cell62","Group2"
"Cell63","Group1"
"Cell64","Group1"
"Cell65","Group2"
"Cell66","Group2"
"Cell67","Group2"
"Cell68","Group1"
"Cell69","Group2"
"Cell70","Group1"
"Cell71","Group2"
"Cell72","Group2"
"Cell73","Group1"
"Cell74","Group1"
"Cell75","Group2"
"Cell76","Group2"
"Cell77","Group1"
"Cell78","Group2"
"Cell79","Group2"
"Cell80","Group1"
"Cell81","Group2"
"Cell82","Group1"
"Cell83","Group2"
"Cell84","Group2"
"Cell85","Group2"
"Cell86","Group1"
"Cell87","Group1"
"Cell88","Group1"
"Cell89","Group2"
"Cell90","Group1"
"Cell91","Group2"
"Cell92","Group2"
"Cell93","Group1"
"Cell94","Group2"
"Cell95","Group1"
"Cell96","Group1"
"Cell97","Group2"
"Cell98","Group2"
"Cell99","Group1"
"Cell100","Group2"
"Cell101","Group1"
"Cell102","Group1"
"Cell103","Group1"
"Cell104","Group1"
"Cell105","Group2"
"Cell106","Group2"
"Cell107","Group1"
"Cell108","Group2"
"Cell109","Group2"
"Cell110","Group2"
"Cell111","Group2"
"Cell112","Group1"
"Cell113","Group2"
"Cell114","Group1"
"Cell115","Group2"
"Cell116","Group2"
"Cell117","Group2"
"Cell118","Group2"
"Cell119","Group1"
"Cell120","Group1"
"Cell121","Group1"
"Cell122","Group2"
"Cell123","Group2"
"Cell124","Group1"
"Cell125","Group2"
"Cell126","Group1"
"Cell127","Group1"
"Cell128","Group1"
"Cell129","Group2"
"Cell130","Group2"
"Cell131","Group1"
"Cell132","Group2"
"Cell133","Group2"
"Cell134","Group2"
"Cell135","Group2"
"Cell136","Group1"
"Cell137","Group1"
"Cell138","Group1"
"Cell139","Group2"
"Cell140","Group1"
"Cell141","Group2"
"Cell142","Group1"
"Cell143","Group2"
"Cell144","Group1"
"Cell145","Group2"
"Cell146","Group1"
"Cell147","Group2"
"Cell148","Group1"
"Cell149","Group1"
"Cell150","Group2"
"Cell151","Group2"
"Cell152","Group2"
"Cell153","Group1"
"Cell154","Group2"
"Cell155","Group1"
"Cell156","Group2"
"Cell157","Group1"
"Cell158","Group2"
"Cell159","Group2"
"Cell160","Group2"
"Cell161","Group2"
"Cell162","Group1"
"Cell163","Group2"
"Cell164","Group2"
"Cell165","Group1"
"Cell166","Group1"
"Cell167","Group2"
"Cell168","Group1"
"Cell169","Group1"
"Cell170","Group2"
"Cell171","Group1"
"Cell172","Group1"
"Cell173","Group1"
"Cell174","Group2"
"Cell175","Group2"
"Cell176","Group1"
"Cell177","Group1"
"Cell178","Group1"
"Cell179","Group1"
"Cell180","Group2"
"Cell181","Group2"
"Cell182","Group2"
"Cell183","Group2"
"Cell184","Group1"
"Cell185","Group1"
"Cell186","Group1"
"Cell187","Group2"
"Cell188","Group2"
"Cell189","Group2"
"Cell190","Group2"
"Cell191","Group2"
"Cell192","Group2"
"Cell193","Group1"
"Cell194","Group1"
"Cell195","Group2"
"Cell196","Group2"
"Cell197","Group1"
"Cell198","Group2"
"Cell199","Group2"
"Cell200","Group1"
"Cell201","Group2"
"Cell202","Group1"
"Cell203","Group2"
"Cell204","Group2"
"Cell205","Group2"
"Cell206","Group1"
"Cell207","Group2"
"Cell208","Group1"
"Cell209","Group2"
"Cell210","Group1"
"Cell211","Group1"
"Cell212","Group2"
"Cell213","Group1"
"Cell214","Group1"
"Cell215","Group2"
"Cell216","Group2"
"Cell217","Group2"
"Cell218","Group2"
"Cell219","Group2"
"Cell220","Group2"
"Cell221","Group1"
"Cell222","Group1"
"Cell223","Group2"
"Cell224","Group1"
"Cell225","Group2"
"Cell226","Group1"
"Cell227","Group1"
"Cell228","Group2"
"Cell229","Group1"
"Cell230","Group2"
"Cell231","Group1"
"Cell232","Group1"
"Cell233","Group2"
"Cell234","Group2"
"Cell235","Group2"
"Cell236","Group1"
"Cell237","Group2"
"Cell238","Group1"
"Cell239","Group2"
"Cell240","Group2"
"Cell241","Group1"
"Cell242","Group1"
"Cell243","Group1"
"Cell244","Group1"
"Cell245","Group1"
"Cell246","Group2"
"Cell247","Group2"
"Cell248","Group1"
"Cell249","Group2"
"Cell250","Group2"
"Cell251","Group2"
"Cell252","Group2"
"Cell253","Group2"
"Cell254","Group1"
"Cell255","Group2"
"Cell256","Group1"
"Cell257","Group1"
"Cell258","Group2"
"Cell259","Group2"
"Cell260","Group2"
"Cell261","Group1"
"Cell262","Group2"
"Cell263","Group1"
"Cell264","Group2"
"Cell265","Group1"
"Cell266","Group2"
"Cell267","Group2"
"Cell268","Group1"
"Cell269","Group2"
"Cell270","Group2"
"Cell271","Group1"
"Cell272","Group2"
"Cell273","Group2"
"Cell274","Group1"
"Cell275","Group2"
"Cell276","Group2"
"Cell277","Group1"
"Cell278","Group2"
"Cell279","Group2"
"Cell280","Group1"
"Cell281","Group1"
"Cell282","Group2"
"Cell283","Group1"
"Cell284","Group2"
"Cell285","Group2"
"Cell286","Group2"
"Cell287","Group2"
"Cell288","Group2"
"Cell289","Group2"
"Cell290","Group1"
"Cell291","Group2"
"Cell292","Group1"
"Cell293","Group2"
"Cell294","Group1"
"Cell295","Group2"
"Cell296","Group2"
"Cell297","Group2"
"Cell298","Group2"
"Cell299","Group1"
"Cell300","Group2"
"Cell301","Group2"
"Cell302","Group2"
"Cell303","Group2"
"Cell304","Group1"
"Cell305","Group2"
"Cell306","Group1"
"Cell307","Group2"
"Cell308","Group2"
"Cell309","Group1"
"Cell310","Group1"
"Cell311","Group2"
"Cell312","Group1"
"Cell313","Group1"
"Cell314","Group1"
"Cell315","Group2"
"Cell316","Group2"
"Cell317","Group2"
"Cell318","Group1"
"Cell319","Group1"
"Cell320","Group2"
"Cell321","Group1"
"Cell322","Group2"
"Cell323","Group2"
"Cell324","Group2"
"Cell325","Group1"
"Cell326","Group2"
"Cell327","Group1"
"Cell328","Group2"
"Cell329","Group1"
"Cell330","Group2"
"Cell331","Group2"
"Cell332","Group1"
"Cell333","Group1"
"Cell334","Group2"
"Cell335","Group2"
"Cell336","Group2"
"Cell337","Group1"
"Cell338","Group1"
"Cell339","Group1"
"Cell340","Group1"
"Cell341","Group2"
"Cell342","Group2"
"Cell343","Group1"
"Cell344","Group2"
"Cell345","Group2"
"Cell346","Group1"
"Cell347","Group1"
"Cell348","Group2"
"Cell349","Group2"
"Cell350","Group1"
"Cell351","Group2"
"Cell352","Group2"
"Cell353","Group1"
"Cell354","Group2"
"Cell355","Group1"
"Cell356","Group1"
"Cell357","Group1"
"Cell358","Group1"
"Cell359","Group2"
"Cell360","Group2"
"Cell361","Group1"
"Cell362","Group2"
"Cell363","Group1"
"Cell364","Group2"
"Cell365","Group2"
"Cell366","Group1"
"Cell367","Group1"
"Cell368","Group1"
"Cell369","Group2"
"Cell370","Group2"
"Cell371","Group2"
"Cell372","Group2"
"Cell373","Group1"
"Cell374","Group2"
"Cell375","Group2"
"Cell376","Group1"
"Cell377","Group2"
"Cell378","Group1"
"Cell379","Group1"
"Cell380","Group2"
"Cell381","Group2"
"Cell382","Group1"
"Cell383","Group2"
"Cell384","Group2"
"Cell385","Group1"
"Cell386","Group2"
"Cell387","Group1"
"Cell388","Group2"
"Cell389","Group1"
"Cell390","Group1"
"Cell391","Group2"
"Cell392","Group2"
"Cell393","Group2"
"Cell394","Group1"
"Cell395","Group2"
"Cell396","Group2"
"Cell397","Group2"
"Cell398","Group1"
"Cell399","Group2"
"Cell400","Group1"
