"cell_id","group_id"
"Cell1","Group2"
"Cell2","Group1"
"Cell3","Group2"
"Cell4","Group2"
"Cell5","Group2"
"Cell6","Group1"
"Cell7","Group1"
"Cell8","Group2"
"Cell9","Group2"
"Cell10","Group2"
"Cell11","Group2"
"Cell12","Group1"
"Cell13","Group1"
"Cell14","Group1"
"Cell15","Group2"
"Cell16","Group2"
"Cell17","Group1"
"Cell18","Group2"
"Cell19","Group1"
"Cell20","Group2"
"Cell21","Group1"
"Cell22","Group2"
"Cell23","Group1"
"Cell24","Group1"
"Cell25","Group1"
"Cell26","Group1"
"Cell27","Group2"
"Cell28","Group1"
"Cell29","Group1"
"Cell30","Group1"
"Cell31","Group1"
"Cell32","Group2"
"Cell33","Group2"
"Cell34","Group2"
"Cell35","Group1"
"Cell36","Group2"
"Cell37","Group1"
"Cell38","Group2"
"Cell39","Group1"
"Cell40","Group2"
"Cell41","Group1"
"Cell42","Group2"
"Cell43","Group1"
"Cell44","Group2"
"Cell45","Group2"
"Cell46","Group2"
"Cell47","Group2"
"Cell48","Group1"
"Cell49","Group1"
"Cell50","Group1"
"Cell51","Group2"
"Cell52","Group1"
"Cell53","Group2"
"Cell54","Group2"
"Cell55","Group2"
"Cell56","Group2"
"Cell57","Group2"
"Cell58","Group1"
"Cell59","Group2"
"Cell60","Group2"
"Cell61","Group2"
"Cell62","Group2"
"Cell63","Group2"
"Cell64","Group1"
"Cell65","Group1"
"Cell66","Group2"
"Cell67","Group1"
"Cell68","Group1"
"Cell69","Group2"
"Cell70","Group1"
"Cell71","Group2"
"Cell72","Group1"
"Cell73","Group2"
"Cell74","Group2"
"Cell75","Group2"
"Cell76","Group1"
"Cell77","Group1"
"Cell78","Group1"
"Cell79","Group2"
"Cell80","Group1"
"Cell81","Group1"
"Cell82","Group2"
"Cell83","Group2"
"Cell84","Group2"
"Cell85","Group1"
"Cell86","Group1"
"Cell87","Group1"
"Cell88","Group2"
"Cell89","Group1"
"Cell90","Group1"
"Cell91","Group1"
"Cell92","Group2"
"Cell93","Group1"
"Cell94","Group1"
"Cell95","Group2"
"Cell96","Group1"
"Cell97","Group1"
"Cell98","Group1"
"Cell99","Group2"
"Cell100","Group2"
"Cell101","Group2"
"Cell102","Group2"
"Cell103","Group1"
"Cell104","Group1"
"Cell105","Group1"
"Cell106","Group1"
"Cell107","Group1"
"Cell108","Group1"
"Cell109","Group1"
"Cell110","Group2"
"Cell111","Group2"
"Cell112","Group2"
"Cell113","Group2"
"Cell114","Group2"
"Cell115","Group2"
"Cell116","Group2"
"Cell117","Group1"
"Cell118","Group1"
"Cell119","Group2"
"Cell120","Group2"
"Cell121","Group2"
"Cell122","Group2"
"Cell123","Group1"
"Cell124","Group2"
"Cell125","Group2"
"Cell126","Group1"
"Cell127","Group2"
"Cell128","Group1"
"Cell129","Group1"
"Cell130","Group1"
"Cell131","Group1"
"Cell132","Group1"
"Cell133","Group2"
"Cell134","Group1"
"Cell135","Group1"
"Cell136","Group1"
"Cell137","Group2"
"Cell138","Group1"
"Cell139","Group2"
"Cell140","Group1"
"Cell141","Group1"
"Cell142","Group2"
"Cell143","Group2"
"Cell144","Group2"
"Cell145","Group1"
"Cell146","Group2"
"Cell147","Group2"
"Cell148","Group2"
"Cell149","Group2"
"Cell150","Group1"
