"cell_id","group_id"
"Cell1","Group1"
"Cell2","Group2"
"Cell3","Group1"
"Cell4","Group1"
"Cell5","Group2"
"Cell6","Group2"
"Cell7","Group2"
"Cell8","Group1"
"Cell9","Group2"
"Cell10","Group1"
"Cell11","Group1"
"Cell12","Group2"
"Cell13","Group2"
"Cell14","Group1"
"Cell15","Group1"
"Cell16","Group1"
"Cell17","Group2"
"Cell18","Group1"
"Cell19","Group1"
"Cell20","Group1"
"Cell21","Group1"
"Cell22","Group1"
"Cell23","Group1"
"Cell24","Group2"
"Cell25","Group1"
"Cell26","Group1"
"Cell27","Group1"
"Cell28","Group2"
"Cell29","Group2"
"Cell30","Group1"
"Cell31","Group2"
"Cell32","Group1"
"Cell33","Group1"
"Cell34","Group2"
"Cell35","Group2"
"Cell36","Group1"
"Cell37","Group1"
"Cell38","Group1"
"Cell39","Group1"
"Cell40","Group2"
"Cell41","Group2"
"Cell42","Group2"
"Cell43","Group1"
"Cell44","Group2"
"Cell45","Group1"
"Cell46","Group2"
"Cell47","Group2"
"Cell48","Group2"
"Cell49","Group1"
"Cell50","Group2"
"Cell51","Group2"
"Cell52","Group1"
"Cell53","Group2"
"Cell54","Group1"
"Cell55","Group2"
"Cell56","Group2"
"Cell57","Group1"
"Cell58","Group1"
"Cell59","Group2"
"Cell60","Group1"
"Cell61","Group1"
"Cell62","Group1"
"Cell63","Group1"
"Cell64","Group1"
"Cell65","Group1"
"Cell66","Group1"
"Cell67","Group1"
"Cell68","Group2"
"Cell69","Group1"
"Cell70","Group2"
"Cell71","Group2"
"Cell72","Group2"
"Cell73","Group2"
"Cell74","Group1"
"Cell75","Group2"
"Cell76","Group1"
"Cell77","Group2"
"Cell78","Group2"
"Cell79","Group1"
"Cell80","Group2"
"Cell81","Group2"
"Cell82","Group2"
"Cell83","Group2"
"Cell84","Group1"
"Cell85","Group2"
"Cell86","Group1"
"Cell87","Group1"
"Cell88","Group2"
"Cell89","Group1"
"Cell90","Group2"
"Cell91","Group1"
"Cell92","Group2"
"Cell93","Group2"
"Cell94","Group1"
"Cell95","Group2"
"Cell96","Group1"
"Cell97","Group1"
"Cell98","Group1"
"Cell99","Group1"
"Cell100","Group1"
"Cell101","Group1"
"Cell102","Group2"
"Cell103","Group2"
"Cell104","Group2"
"Cell105","Group2"
"Cell106","Group1"
"Cell107","Group1"
"Cell108","Group1"
"Cell109","Group2"
"Cell110","Group1"
"Cell111","Group1"
"Cell112","Group1"
"Cell113","Group1"
"Cell114","Group2"
"Cell115","Group2"
"Cell116","Group1"
"Cell117","Group1"
"Cell118","Group2"
"Cell119","Group2"
"Cell120","Group1"
"Cell121","Group1"
"Cell122","Group2"
"Cell123","Group2"
"Cell124","Group1"
"Cell125","Group2"
"Cell126","Group2"
"Cell127","Group1"
"Cell128","Group2"
"Cell129","Group1"
"Cell130","Group2"
"Cell131","Group2"
"Cell132","Group1"
"Cell133","Group2"
"Cell134","Group2"
"Cell135","Group2"
"Cell136","Group2"
"Cell137","Group2"
"Cell138","Group2"
"Cell139","Group1"
"Cell140","Group1"
"Cell141","Group2"
"Cell142","Group1"
"Cell143","Group2"
"Cell144","Group1"
"Cell145","Group1"
"Cell146","Group2"
"Cell147","Group2"
"Cell148","Group1"
"Cell149","Group2"
"Cell150","Group1"
"Cell151","Group1"
"Cell152","Group1"
"Cell153","Group2"
"Cell154","Group1"
"Cell155","Group1"
"Cell156","Group1"
"Cell157","Group1"
"Cell158","Group2"
"Cell159","Group2"
"Cell160","Group1"
"Cell161","Group1"
"Cell162","Group1"
"Cell163","Group1"
"Cell164","Group1"
"Cell165","Group2"
"Cell166","Group2"
"Cell167","Group2"
"Cell168","Group2"
"Cell169","Group2"
"Cell170","Group1"
"Cell171","Group2"
"Cell172","Group2"
"Cell173","Group1"
"Cell174","Group2"
"Cell175","Group2"
"Cell176","Group1"
"Cell177","Group1"
"Cell178","Group2"
"Cell179","Group1"
"Cell180","Group1"
"Cell181","Group1"
"Cell182","Group1"
"Cell183","Group2"
"Cell184","Group1"
"Cell185","Group1"
"Cell186","Group2"
"Cell187","Group1"
"Cell188","Group1"
"Cell189","Group2"
"Cell190","Group2"
"Cell191","Group2"
"Cell192","Group1"
"Cell193","Group2"
"Cell194","Group1"
"Cell195","Group2"
"Cell196","Group1"
"Cell197","Group2"
"Cell198","Group2"
"Cell199","Group2"
"Cell200","Group2"
"Cell201","Group1"
"Cell202","Group1"
"Cell203","Group1"
"Cell204","Group1"
"Cell205","Group1"
"Cell206","Group2"
"Cell207","Group1"
"Cell208","Group2"
"Cell209","Group2"
"Cell210","Group2"
"Cell211","Group2"
"Cell212","Group2"
"Cell213","Group2"
"Cell214","Group2"
"Cell215","Group2"
"Cell216","Group1"
"Cell217","Group2"
"Cell218","Group1"
"Cell219","Group1"
"Cell220","Group1"
"Cell221","Group2"
"Cell222","Group2"
"Cell223","Group2"
"Cell224","Group2"
"Cell225","Group1"
"Cell226","Group2"
"Cell227","Group2"
"Cell228","Group2"
"Cell229","Group2"
"Cell230","Group1"
"Cell231","Group1"
"Cell232","Group2"
"Cell233","Group2"
"Cell234","Group2"
"Cell235","Group1"
"Cell236","Group1"
"Cell237","Group1"
"Cell238","Group2"
"Cell239","Group2"
"Cell240","Group2"
"Cell241","Group1"
"Cell242","Group1"
"Cell243","Group2"
"Cell244","Group2"
"Cell245","Group1"
"Cell246","Group1"
"Cell247","Group2"
"Cell248","Group1"
"Cell249","Group1"
"Cell250","Group1"
