"cell_id","group_id"
"Cell1","Group2"
"Cell2","Group1"
"Cell3","Group1"
"Cell4","Group1"
"Cell5","Group1"
"Cell6","Group1"
"Cell7","Group1"
"Cell8","Group1"
"Cell9","Group2"
"Cell10","Group1"
"Cell11","Group2"
"Cell12","Group2"
"Cell13","Group2"
"Cell14","Group1"
"Cell15","Group2"
"Cell16","Group2"
"Cell17","Group1"
"Cell18","Group1"
"Cell19","Group1"
"Cell20","Group2"
"Cell21","Group2"
"Cell22","Group2"
"Cell23","Group1"
"Cell24","Group2"
"Cell25","Group2"
"Cell26","Group2"
"Cell27","Group1"
"Cell28","Group1"
"Cell29","Group1"
"Cell30","Group2"
"Cell31","Group2"
"Cell32","Group1"
"Cell33","Group2"
"Cell34","Group2"
"Cell35","Group1"
"Cell36","Group2"
"Cell37","Group2"
"Cell38","Group2"
"Cell39","Group2"
"Cell40","Group1"
"Cell41","Group2"
"Cell42","Group2"
"Cell43","Group2"
"Cell44","Group1"
"Cell45","Group1"
"Cell46","Group2"
"Cell47","Group2"
"Cell48","Group2"
"Cell49","Group2"
"Cell50","Group2"
"Cell51","Group1"
"Cell52","Group2"
"Cell53","Group1"
"Cell54","Group1"
"Cell55","Group2"
"Cell56","Group2"
"Cell57","Group2"
"Cell58","Group2"
"Cell59","Group1"
"Cell60","Group1"
"Cell61","Group1"
"Cell62","Group1"
"Cell63","Group2"
"Cell64","Group1"
"Cell65","Group1"
"Cell66","Group2"
"Cell67","Group2"
"Cell68","Group2"
"Cell69","Group2"
"Cell70","Group2"
"Cell71","Group2"
"Cell72","Group2"
"Cell73","Group2"
"Cell74","Group2"
"Cell75","Group2"
"Cell76","Group2"
"Cell77","Group1"
"Cell78","Group1"
"Cell79","Group1"
"Cell80","Group1"
"Cell81","Group2"
"Cell82","Group2"
"Cell83","Group1"
"Cell84","Group1"
"Cell85","Group1"
"Cell86","Group2"
"Cell87","Group2"
"Cell88","Group2"
"Cell89","Group1"
"Cell90","Group2"
"Cell91","Group2"
"Cell92","Group2"
"Cell93","Group2"
"Cell94","Group2"
"Cell95","Group2"
"Cell96","Group1"
"Cell97","Group1"
"Cell98","Group1"
"Cell99","Group1"
"Cell100","Group1"
"Cell101","Group2"
"Cell102","Group2"
"Cell103","Group2"
"Cell104","Group2"
"Cell105","Group2"
"Cell106","Group2"
"Cell107","Group1"
"Cell108","Group1"
"Cell109","Group1"
"Cell110","Group2"
"Cell111","Group1"
"Cell112","Group2"
"Cell113","Group1"
"Cell114","Group2"
"Cell115","Group1"
"Cell116","Group1"
"Cell117","Group2"
"Cell118","Group1"
"Cell119","Group1"
"Cell120","Group2"
"Cell121","Group1"
"Cell122","Group2"
"Cell123","Group1"
"Cell124","Group1"
"Cell125","Group2"
"Cell126","Group2"
"Cell127","Group2"
"Cell128","Group1"
"Cell129","Group1"
"Cell130","Group1"
"Cell131","Group2"
"Cell132","Group1"
"Cell133","Group1"
"Cell134","Group2"
"Cell135","Group2"
"Cell136","Group1"
"Cell137","Group2"
"Cell138","Group2"
"Cell139","Group1"
"Cell140","Group2"
"Cell141","Group2"
"Cell142","Group2"
"Cell143","Group2"
"Cell144","Group2"
