"cell_id","group_id"
"Cell1","Group1"
"Cell2","Group1"
"Cell3","Group1"
"Cell4","Group1"
"Cell5","Group1"
"Cell6","Group2"
"Cell7","Group2"
"Cell8","Group1"
"Cell9","Group1"
"Cell10","Group1"
"Cell11","Group1"
"Cell12","Group1"
"Cell13","Group2"
"Cell14","Group2"
"Cell15","Group1"
"Cell16","Group1"
"Cell17","Group1"
"Cell18","Group2"
"Cell19","Group2"
"Cell20","Group2"
"Cell21","Group1"
"Cell22","Group1"
"Cell23","Group2"
"Cell24","Group1"
"Cell25","Group1"
"Cell26","Group2"
"Cell27","Group1"
"Cell28","Group2"
"Cell29","Group2"
"Cell30","Group2"
"Cell31","Group1"
"Cell32","Group1"
"Cell33","Group2"
"Cell34","Group2"
"Cell35","Group2"
"Cell36","Group1"
"Cell37","Group2"
"Cell38","Group2"
"Cell39","Group2"
"Cell40","Group1"
"Cell41","Group2"
"Cell42","Group1"
"Cell43","Group1"
"Cell44","Group2"
"Cell45","Group1"
"Cell46","Group1"
"Cell47","Group2"
"Cell48","Group1"
"Cell49","Group1"
"Cell50","Group2"
"Cell51","Group2"
"Cell52","Group2"
"Cell53","Group2"
"Cell54","Group2"
"Cell55","Group1"
"Cell56","Group1"
"Cell57","Group1"
"Cell58","Group1"
"Cell59","Group1"
"Cell60","Group1"
"Cell61","Group1"
"Cell62","Group1"
"Cell63","Group2"
"Cell64","Group2"
"Cell65","Group1"
"Cell66","Group2"
"Cell67","Group2"
"Cell68","Group1"
"Cell69","Group2"
"Cell70","Group2"
"Cell71","Group1"
"Cell72","Group2"
"Cell73","Group2"
"Cell74","Group2"
"Cell75","Group1"
"Cell76","Group1"
"Cell77","Group1"
"Cell78","Group2"
"Cell79","Group1"
"Cell80","Group2"
"Cell81","Group1"
"Cell82","Group1"
"Cell83","Group2"
"Cell84","Group2"
"Cell85","Group2"
"Cell86","Group1"
"Cell87","Group2"
"Cell88","Group1"
"Cell89","Group2"
"Cell90","Group1"
"Cell91","Group2"
"Cell92","Group2"
"Cell93","Group2"
"Cell94","Group2"
"Cell95","Group1"
"Cell96","Group1"
"Cell97","Group2"
"Cell98","Group2"
"Cell99","Group2"
"Cell100","Group1"
